,epoch,step,time/trnstep,train_loss_p
0,1.0,1.0,53.872480392456055,48.08341598510742
1,1.0,2.0,53.410637617111206,59.386199951171875
2,1.0,3.0,53.076279401779175,118.1627197265625
3,1.0,4.0,54.61570477485657,753.2918701171875
4,1.0,5.0,53.21735715866089,159.4969482421875
5,1.0,6.0,53.606621742248535,973.703857421875
6,1.0,7.0,54.3348183631897,387.9975280761719
7,1.0,8.0,54.73758506774902,426.97027587890625
8,1.0,9.0,54.960057735443115,75.7523193359375
9,1.0,10.0,54.95276665687561,115.26795196533203
10,1.0,11.0,55.02296996116638,72.39421081542969
11,1.0,12.0,53.26343035697937,52.76243591308594
12,1.0,13.0,54.501814126968384,62.41634750366211
13,1.0,14.0,53.931580543518066,54.13453674316406
14,1.0,15.0,54.00401782989502,40.007503509521484
15,1.0,16.0,54.61320877075195,31.001270294189453
16,1.0,17.0,54.71511507034302,13.928528785705566
17,1.0,18.0,53.840362548828125,-0.37364625930786133
18,1.0,19.0,52.966490507125854,15.795270919799805
19,1.0,20.0,53.91152596473694,7.466229438781738
20,1.0,21.0,55.44646430015564,-10.089286804199219
21,1.0,22.0,54.42308783531189,-12.920328140258789
22,1.0,23.0,53.64031362533569,-16.643857955932617
23,1.0,24.0,53.91054940223694,-23.25438117980957
24,1.0,25.0,53.927695989608765,-28.185291290283203
25,1.0,26.0,53.1999351978302,-12.631231307983398
26,1.0,27.0,57.51640510559082,-34.29202651977539
27,1.0,28.0,54.16136717796326,-28.650558471679688
28,1.0,29.0,53.6855354309082,-35.94626998901367
29,1.0,30.0,55.21163845062256,-45.25696563720703
30,1.0,31.0,54.71668100357056,-48.820396423339844
31,1.0,32.0,54.062747955322266,-35.512794494628906
32,1.0,33.0,54.63367438316345,-36.9607048034668
33,1.0,34.0,54.58987355232239,-39.88611602783203
34,1.0,35.0,54.7404420375824,-44.54854202270508
35,1.0,36.0,53.8729510307312,-51.842010498046875
36,1.0,37.0,54.5756733417511,-50.69480895996094
37,1.0,38.0,54.447218894958496,-53.56654357910156
38,1.0,39.0,53.69394850730896,-67.21501922607422
39,1.0,40.0,55.15094542503357,-58.928367614746094
40,1.0,41.0,54.94671273231506,-70.78814697265625
41,1.0,42.0,54.49064588546753,-70.6932373046875
42,1.0,43.0,54.41889452934265,-76.21876525878906
43,1.0,44.0,54.61801218986511,-79.10469055175781
44,1.0,45.0,55.30191421508789,-80.26823425292969
45,1.0,46.0,54.78106093406677,-81.83289337158203
46,1.0,47.0,54.97628617286682,-83.67539978027344
47,1.0,48.0,54.56468963623047,-80.62178039550781
48,1.0,49.0,54.02264046669006,-80.84162902832031
49,1.0,50.0,55.210216760635376,-82.68255615234375
50,1.0,51.0,54.59300470352173,-87.00621795654297
51,1.0,52.0,53.13547086715698,-89.14298248291016
52,1.0,53.0,54.20995092391968,-91.11326599121094
53,1.0,54.0,52.32427668571472,-91.18727111816406
54,1.0,55.0,54.280590772628784,-84.50787353515625
55,1.0,56.0,54.26249957084656,-90.19564819335938
56,1.0,57.0,53.73923110961914,-89.01617431640625
57,1.0,58.0,54.429205894470215,-91.26673889160156
58,1.0,59.0,54.581130266189575,-94.95387268066406
59,1.0,60.0,54.29274082183838,-96.79411315917969
60,1.0,61.0,54.82969427108765,-95.65058135986328
61,1.0,62.0,54.86824870109558,-101.26778411865234
62,1.0,63.0,54.256325006484985,-103.52586364746094
63,1.0,64.0,54.772157192230225,-97.77114868164062
64,1.0,65.0,54.63708186149597,-99.25360107421875
65,1.0,66.0,53.65568232536316,-100.62106323242188
66,1.0,67.0,54.52982425689697,-101.63603973388672
67,1.0,68.0,54.57788586616516,-100.86876678466797
68,1.0,69.0,54.76017785072327,-103.6773910522461
69,1.0,70.0,54.291547536849976,-102.51985168457031
70,1.0,71.0,54.53457999229431,-103.44141387939453
71,1.0,72.0,53.137574195861816,-103.11050415039062
72,1.0,73.0,54.01893663406372,-103.54972839355469
73,1.0,74.0,54.60947227478027,-104.89405059814453
74,1.0,75.0,54.83430790901184,-106.29098510742188
75,1.0,76.0,54.49714255332947,-107.43907165527344
76,1.0,77.0,54.805421352386475,-106.0892562866211
77,1.0,78.0,54.52432203292847,-104.3607177734375
78,1.0,79.0,54.070924282073975,-104.82835388183594
79,1.0,80.0,53.69380497932434,-107.74785614013672
80,1.0,81.0,54.71701669692993,-107.81100463867188
81,1.0,82.0,53.76015758514404,-108.27410888671875
82,1.0,83.0,54.929394483566284,-109.42280578613281
83,1.0,84.0,54.33764886856079,-108.07831573486328
84,1.0,85.0,52.73810315132141,-105.92467498779297
85,1.0,86.0,54.514310121536255,-104.40780639648438
86,1.0,87.0,54.90734577178955,-106.05238342285156
87,1.0,88.0,53.60778856277466,-106.57167053222656
88,1.0,89.0,54.15447998046875,-107.2185287475586
89,1.0,90.0,55.42213487625122,-107.71800231933594
90,1.0,91.0,54.319634199142456,-110.41300964355469
91,1.0,92.0,53.511494159698486,-108.59078216552734
92,1.0,93.0,54.3352746963501,-104.40339660644531
93,1.0,94.0,53.906201124191284,-110.29035949707031
94,1.0,95.0,54.220606088638306,-109.73104858398438
95,1.0,96.0,56.662089586257935,-110.0051040649414
96,1.0,97.0,55.163989782333374,-109.82077026367188
97,1.0,98.0,54.14998745918274,-110.36311340332031
98,1.0,99.0,53.69829344749451,-113.60335540771484
99,1.0,100.0,53.20110082626343,-112.28289031982422
100,1.0,101.0,53.9232714176178,-112.97606658935547
101,1.0,102.0,53.43475127220154,-114.51483917236328
102,1.0,103.0,53.24757122993469,-112.92782592773438
103,1.0,104.0,54.74677133560181,-114.99200439453125
104,1.0,105.0,54.70138907432556,-113.1635513305664
105,1.0,106.0,54.478278160095215,-115.19529724121094
106,1.0,107.0,53.5574209690094,-114.01023864746094
107,1.0,108.0,54.95904040336609,-114.34906005859375
108,1.0,109.0,54.76218843460083,-115.93215942382812
109,1.0,110.0,54.16096639633179,-114.19419860839844
110,1.0,111.0,53.76567363739014,-114.61913299560547
111,1.0,112.0,54.13996362686157,-116.42028045654297
112,1.0,113.0,52.933573722839355,-114.36588287353516
113,1.0,114.0,53.54026794433594,-116.8673095703125
114,1.0,115.0,53.794795513153076,-113.98599243164062
115,1.0,116.0,54.6156108379364,-115.80965423583984
116,1.0,117.0,55.24410629272461,-114.27037048339844
117,1.0,118.0,54.56898808479309,-114.99652099609375
118,1.0,119.0,54.68615102767944,-114.1191635131836
119,1.0,120.0,54.06394124031067,-113.6391372680664
120,1.0,121.0,53.31133556365967,-114.59314727783203
121,1.0,122.0,53.41663098335266,-114.95988464355469
122,1.0,123.0,54.357096433639526,-114.79459381103516
123,1.0,124.0,54.2607479095459,-116.84109497070312
124,1.0,125.0,54.0348904132843,-112.96151733398438
125,1.0,126.0,53.06846618652344,-114.70442199707031
126,1.0,127.0,53.927374601364136,-114.00395202636719
127,1.0,128.0,54.35287880897522,-115.80386352539062
128,1.0,129.0,54.60896921157837,-114.7164077758789
129,1.0,130.0,53.334014892578125,-114.32770538330078
130,1.0,131.0,53.888906717300415,-116.6008529663086
131,1.0,132.0,54.398574352264404,-114.56888580322266
132,1.0,133.0,53.80356788635254,-116.55223846435547
133,1.0,134.0,54.34190392494202,-115.68698120117188
