,batchsz,lr,width,width_y,depth
0,64.0,0.01,128.0,128.0,4.0
1,128.0,0.001,64.0,64.0,4.0
2,32.0,0.01,64.0,64.0,2.0
3,32.0,0.01,32.0,32.0,5.0
4,64.0,0.001,64.0,64.0,5.0
5,64.0,0.01,256.0,256.0,6.0
6,32.0,0.001,128.0,128.0,5.0
7,32.0,0.001,128.0,128.0,3.0
8,64.0,0.0001,128.0,128.0,5.0
9,128.0,0.0001,32.0,32.0,2.0
10,32.0,0.0001,128.0,128.0,4.0
11,128.0,0.0001,32.0,32.0,5.0
12,64.0,0.01,256.0,256.0,3.0
13,128.0,0.01,32.0,32.0,2.0
14,32.0,0.001,32.0,32.0,5.0
15,64.0,0.01,128.0,128.0,6.0
16,32.0,0.0001,32.0,32.0,4.0
17,32.0,0.0001,64.0,64.0,6.0
18,128.0,0.01,32.0,32.0,3.0
19,128.0,0.01,256.0,256.0,6.0
20,128.0,0.01,64.0,64.0,4.0
21,128.0,0.0001,512.0,512.0,4.0
22,128.0,0.0001,128.0,128.0,5.0
23,128.0,0.01,256.0,256.0,5.0
24,64.0,0.01,512.0,512.0,2.0
25,32.0,0.001,32.0,32.0,6.0
26,64.0,0.001,128.0,128.0,5.0
27,64.0,0.0001,128.0,128.0,3.0
28,32.0,0.01,32.0,32.0,5.0
29,32.0,0.01,64.0,64.0,3.0
30,32.0,0.001,256.0,256.0,2.0
31,32.0,0.001,512.0,512.0,4.0
32,32.0,0.001,128.0,128.0,6.0
33,128.0,0.001,64.0,64.0,4.0
34,32.0,0.0001,32.0,32.0,4.0
35,128.0,0.01,64.0,64.0,5.0
36,32.0,0.0001,512.0,512.0,5.0
37,128.0,0.01,128.0,128.0,3.0
38,32.0,0.01,32.0,32.0,4.0
39,128.0,0.001,512.0,512.0,4.0
40,32.0,0.001,256.0,256.0,5.0
41,32.0,0.0001,128.0,128.0,4.0
42,32.0,0.01,512.0,512.0,5.0
43,128.0,0.01,256.0,256.0,6.0
44,64.0,0.01,128.0,128.0,5.0
45,32.0,0.01,512.0,512.0,5.0
46,32.0,0.01,32.0,32.0,6.0
47,32.0,0.0001,128.0,128.0,6.0
48,128.0,0.01,512.0,512.0,5.0
49,128.0,0.001,512.0,512.0,6.0
