,batchsz,lr,width,width_y,depth
0,64.0,0.01,256.0,256.0,6.0
1,32.0,0.001,256.0,256.0,4.0
2,128.0,0.0001,32.0,32.0,2.0
3,64.0,0.001,512.0,512.0,5.0
4,64.0,0.0001,256.0,256.0,4.0
5,32.0,0.0001,256.0,256.0,2.0
6,32.0,0.001,256.0,256.0,4.0
7,128.0,0.01,512.0,512.0,4.0
8,64.0,0.01,128.0,128.0,3.0
9,64.0,0.001,512.0,512.0,5.0
10,128.0,0.0001,256.0,256.0,3.0
11,128.0,0.01,64.0,64.0,4.0
12,64.0,0.001,128.0,128.0,3.0
13,64.0,0.0001,256.0,256.0,4.0
14,64.0,0.0001,128.0,128.0,3.0
15,128.0,0.001,32.0,32.0,3.0
16,128.0,0.0001,64.0,64.0,5.0
17,32.0,0.0001,256.0,256.0,6.0
18,64.0,0.0001,64.0,64.0,3.0
19,32.0,0.0001,512.0,512.0,2.0
20,64.0,0.0001,32.0,32.0,6.0
21,128.0,0.01,512.0,512.0,2.0
22,128.0,0.01,256.0,256.0,3.0
23,128.0,0.01,32.0,32.0,6.0
24,64.0,0.01,128.0,128.0,6.0
25,64.0,0.01,32.0,32.0,4.0
26,64.0,0.001,64.0,64.0,5.0
27,32.0,0.0001,128.0,128.0,2.0
28,128.0,0.0001,128.0,128.0,2.0
29,128.0,0.0001,32.0,32.0,5.0
30,128.0,0.0001,64.0,64.0,5.0
31,64.0,0.001,128.0,128.0,6.0
32,32.0,0.001,32.0,32.0,2.0
33,64.0,0.001,128.0,128.0,2.0
34,64.0,0.001,256.0,256.0,2.0
35,64.0,0.001,32.0,32.0,6.0
36,64.0,0.01,256.0,256.0,3.0
37,64.0,0.001,256.0,256.0,6.0
38,64.0,0.0001,512.0,512.0,2.0
39,64.0,0.01,512.0,512.0,6.0
40,64.0,0.01,512.0,512.0,3.0
41,64.0,0.001,128.0,128.0,6.0
42,64.0,0.01,256.0,256.0,3.0
43,64.0,0.01,512.0,512.0,2.0
44,32.0,0.001,64.0,64.0,6.0
45,64.0,0.001,256.0,256.0,5.0
46,64.0,0.0001,512.0,512.0,2.0
47,64.0,0.001,128.0,128.0,6.0
48,32.0,0.0001,32.0,32.0,4.0
49,128.0,0.0001,256.0,256.0,4.0
