,batchsz,lr,width,width_y,depth
0,64.0,0.01,128.0,128.0,4.0
1,128.0,0.0001,512.0,512.0,5.0
2,32.0,0.0001,64.0,64.0,5.0
3,64.0,0.001,32.0,32.0,2.0
4,128.0,0.001,128.0,128.0,2.0
5,32.0,0.001,128.0,128.0,4.0
6,32.0,0.0001,32.0,32.0,5.0
7,128.0,0.001,128.0,128.0,3.0
8,64.0,0.0001,128.0,128.0,3.0
9,128.0,0.0001,64.0,64.0,6.0
10,128.0,0.0001,256.0,256.0,6.0
11,64.0,0.0001,256.0,256.0,3.0
12,32.0,0.001,64.0,64.0,6.0
13,32.0,0.001,64.0,64.0,4.0
14,64.0,0.01,64.0,64.0,3.0
15,32.0,0.001,64.0,64.0,3.0
16,64.0,0.01,64.0,64.0,2.0
17,128.0,0.001,256.0,256.0,5.0
18,32.0,0.001,512.0,512.0,5.0
19,128.0,0.01,128.0,128.0,3.0
20,32.0,0.0001,32.0,32.0,2.0
21,128.0,0.01,64.0,64.0,4.0
22,128.0,0.001,256.0,256.0,3.0
23,64.0,0.0001,32.0,32.0,5.0
24,32.0,0.01,256.0,256.0,4.0
25,64.0,0.0001,256.0,256.0,5.0
26,64.0,0.0001,512.0,512.0,3.0
27,128.0,0.01,32.0,32.0,4.0
28,64.0,0.01,32.0,32.0,5.0
29,128.0,0.0001,64.0,64.0,3.0
30,128.0,0.001,256.0,256.0,2.0
31,64.0,0.0001,256.0,256.0,5.0
32,64.0,0.0001,128.0,128.0,2.0
33,32.0,0.0001,512.0,512.0,3.0
34,128.0,0.0001,64.0,64.0,4.0
35,128.0,0.001,512.0,512.0,4.0
36,32.0,0.0001,32.0,32.0,5.0
37,32.0,0.001,64.0,64.0,3.0
38,128.0,0.01,32.0,32.0,3.0
39,64.0,0.01,512.0,512.0,6.0
40,32.0,0.001,512.0,512.0,4.0
41,64.0,0.0001,64.0,64.0,4.0
42,64.0,0.0001,512.0,512.0,2.0
43,128.0,0.01,32.0,32.0,3.0
44,32.0,0.001,512.0,512.0,3.0
45,32.0,0.0001,32.0,32.0,2.0
46,64.0,0.01,512.0,512.0,5.0
47,128.0,0.001,256.0,256.0,3.0
48,32.0,0.0001,64.0,64.0,4.0
49,64.0,0.01,512.0,512.0,2.0
